"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPC24",1.3255435674042,1.72181466108802,12.6493822507443,1.6619916934083e-32,3.01775814566892e-31,62.750733606566
"HOXA5",-1.26415631843602,2.0206243282764,-12.6412764832842,1.80143859113548e-32,3.26774229392993e-31,62.6707013764195
"SNRPA1",0.856886956126663,3.10535875542255,12.631344808625,1.98826941116197e-32,3.60310354588567e-31,62.5726803564924
"TYMS",1.46093820515487,3.0725710517052,12.6239409820956,2.13998686094571e-32,3.87423725326069e-31,62.4996362060083
"C11orf24",0.947822152505539,3.89010588638764,12.6221231917199,2.17896591556051e-32,3.94093756963336e-31,62.4817060614185
"GNG11",-1.7972956573427,3.47422450812971,-12.6156777880544,2.32295933514552e-32,4.19725306706803e-31,62.4181422251783
"PTPRO",-0.846099046450269,0.961914607027413,-12.6153097563992,2.33146147102477e-32,4.20849326981066e-31,62.4145132905751
"UNC5CL",1.72716965842752,2.1944606519433,12.6118112836415,2.41384494162347e-32,4.35294344898043e-31,62.3800199718175
"SNCA",-0.775627179408612,0.791127610192992,-12.6104088463865,2.44767814841406e-32,4.4096451642522e-31,62.3661941039914
"KHDRBS2",-1.2845934596673,0.872374178539025,-12.6076087687767,2.5166476068857e-32,4.52947463920267e-31,62.3385922496657
"NPNT",-2.10994423404843,3.49617508860265,-12.5906778305645,2.97688296320874e-32,5.35258644300925e-31,62.1717686184531
"TIMP1",1.59245488099329,7.94764634712437,12.5895464646409,3.01046658577481e-32,5.4077008348952e-31,62.1606255713062
"LAD1",1.76628724605669,5.15558793693761,12.5874801427472,3.07278007699776e-32,5.5142652587991e-31,62.1402754165281
"LMO7",-1.40697288484953,4.09527843838743,-12.5834702306272,3.19739299162653e-32,5.73231349946805e-31,62.1007892105057
"ACBD6",0.614508881080136,2.54844099729077,12.5831844941199,3.20646225007927e-32,5.74299180480217e-31,62.0979757914484
"PRKG1",-0.957761607398726,1.30445452197307,-12.5824759632313,3.22906161525865e-32,5.77647915642247e-31,62.0909996096493
"TNS2",-1.31878610965551,3.40953173749601,-12.5783526638645,3.36376079808546e-32,6.00722741559347e-31,62.0504060853443
"AIMP2",0.958148402818082,3.57099268651911,12.5733161151353,3.53590505198521e-32,6.30854704052448e-31,62.0008319019336
"SLC7A7",-1.35457929623219,2.9942210505644,-12.5721537401978,3.57686339394254e-32,6.37545660786975e-31,61.9893923700432
"TBX5",-1.08687709161069,1.58465696046493,-12.5620588390183,3.95303313399961e-32,7.03914626023405e-31,61.8900683940409
"TOX2",-1.2197876673064,1.67224417893242,-12.5601817157147,4.02720442299803e-32,7.16430734768251e-31,61.8716043106398
"PKMYT1",1.2759538694008,1.49356790161418,12.5526110290247,4.34067476686381e-32,7.71452486503887e-31,61.7971520762453
"HMGN1",0.776539336590657,4.89596037217711,12.5497991718221,4.4631893901367e-32,7.92463117124561e-31,61.7695059677913
"FCGR3B",-1.21530858909068,0.843820284552593,-12.5494733108965,4.47760813293629e-32,7.94258796503929e-31,61.766302338369
"IKBKE",0.943038251462472,2.53733335991973,12.5474303988482,4.56906583234695e-32,8.08926357726838e-31,61.7462189757921
"SKA3",1.28037433437406,1.45678271148346,12.5465908524246,4.6071878943727e-32,8.14893598038231e-31,61.7379661399843
"CNP",0.775066284253721,3.91712135150561,12.5448035207724,4.68940479923189e-32,8.28641185212931e-31,61.7203975112686
"PRKCH",-0.843349100102161,2.36896520767032,-12.5425811513693,4.79367327021993e-32,8.46255353961887e-31,61.698554645346
"ITLN1",-2.07262575845418,0.7654784395349,-12.5392409914873,4.95474272760638e-32,8.73853669587787e-31,61.6657295484108
