Tag	dynamicColors	mergedColors
DAXX	black	black
DAZAP1	red	lightcyan
DAZAP2	grey	grey
DBF4	turquoise	turquoise
DBF4B	turquoise	turquoise
DBI	blue	blue
DBN1	turquoise	turquoise
DBNDD1	cyan	black
DBNDD2	grey	grey
DBNL	turquoise	turquoise
DBP	grey	grey
DBR1	salmon	salmon
DBT	blue	blue
DCAF10	blue	blue
DCAF11	grey	grey
DCAF12	grey	grey
DCAF13	turquoise	turquoise
DCAF15	red	lightcyan
DCAF16	blue	blue
DCAF17	salmon	salmon
DCAF4	grey	grey
DCAF5	blue	blue
DCAF6	blue	blue
DCAF7	blue	blue
DCAF8	green	green
DCAKD	yellow	yellow
DCBLD1	brown	brown
DCBLD2	grey	grey
DCDC2	magenta	magenta
DCDC2B	magenta	magenta
DCHS1	pink	pink
DCK	turquoise	turquoise
DCLK1	grey	grey
DCLK2	pink	pink
DCLRE1A	turquoise	turquoise
DCLRE1B	turquoise	turquoise
DCLRE1C	turquoise	turquoise
DCN	pink	pink
DCP1A	blue	blue
DCP1B	grey	grey
DCP2	midnightblue	midnightblue
DCPS	black	black
DCST1	yellow	yellow
DCST2	yellow	yellow
DCSTAMP	brown	brown
DCTD	grey	grey
DCTN1	red	lightcyan
DCTN2	blue	blue
DCTN3	black	black
DCTN4	midnightblue	midnightblue
DCTN5	grey	grey
DCTN6	lightgreen	lightgreen
DCTPP1	black	black
DCUN1D1	salmon	salmon
DCUN1D2	green	green
DCUN1D3	black	black
DCUN1D4	green	green
DCUN1D5	turquoise	turquoise
DCXR	cyan	black
DDA1	black	black
DDAH1	turquoise	turquoise
DDAH2	black	black
DDB1	turquoise	turquoise
DDB2	grey	grey
DDC	lightgreen	lightgreen
DDHD1	blue	blue
DDHD2	grey	grey
DDI2	blue	blue
DDIAS	turquoise	turquoise
DDIT3	black	black
DDIT4	grey	grey
DDIT4L	grey	grey
DDO	brown	brown
DDOST	black	black
DDR1	grey	grey
DDR2	pink	pink
DDRGK1	black	black
DDT	blue	blue
DDTL	yellow	yellow
DDX1	turquoise	turquoise
DDX10	turquoise	turquoise
DDX11	turquoise	turquoise
DDX17	green	green
DDX18	turquoise	turquoise
DDX19A	grey	grey
DDX19B	yellow	yellow
DDX20	blue	blue
DDX21	turquoise	turquoise
DDX23	turquoise	turquoise
DDX24	blue	blue
DDX27	red	lightcyan
DDX28	blue	blue
DDX31	blue	blue
DDX39A	turquoise	turquoise
DDX39B	yellow	yellow
DDX3X	blue	blue
DDX41	black	black
DDX42	blue	blue
DDX43	grey	grey
DDX46	midnightblue	midnightblue
DDX47	green	green
DDX49	black	black
DDX5	green	green
DDX50	turquoise	turquoise
DDX51	yellow	yellow
DDX52	turquoise	turquoise
DDX54	red	lightcyan
DDX55	turquoise	turquoise
DDX56	turquoise	turquoise
DDX58	brown	brown
DDX59	grey	grey
DDX6	blue	blue
DDX60	brown	brown
DDX60L	brown	brown
DEAF1	cyan	black
DECR1	purple	purple
DECR2	cyan	black
DEDD	grey	grey
DEDD2	black	black
DEF6	greenyellow	greenyellow
DEF8	yellow	yellow
DEFB1	grey	grey
DEGS1	brown	brown
DEGS2	magenta	magenta
DEK	turquoise	turquoise
DENND1A	turquoise	turquoise
DENND1B	green	green
DENND1C	greenyellow	greenyellow
DENND2A	tan	tan
DENND2C	blue	blue
DENND2D	greenyellow	greenyellow
DENND3	greenyellow	greenyellow
DENND4A	blue	blue
DENND4B	yellow	yellow
DENND4C	blue	blue
DENND5A	blue	blue
DENND5B	blue	blue
DENND6A	blue	blue
DENND6B	magenta	magenta
DENR	turquoise	turquoise
DEPDC1	turquoise	turquoise
DEPDC1B	turquoise	turquoise
DEPDC5	blue	blue
DEPDC7	blue	blue
DEPTOR	turquoise	turquoise
DERA	turquoise	turquoise
DERL1	turquoise	turquoise
DERL2	grey	grey
DERL3	greenyellow	greenyellow
DES	tan	tan
DESI1	grey	grey
DESI2	blue	blue
DET1	turquoise	turquoise
DEXI	cyan	black
DFFA	turquoise	turquoise
DFFB	yellow	yellow
DGAT1	lightyellow	lightyellow
DGAT2	grey	grey
DGCR2	red	lightcyan
DGCR6	grey	grey
DGCR6L	black	black
DGCR8	yellow	yellow
DGKA	greenyellow	greenyellow
DGKD	yellow	yellow
DGKE	blue	blue
DGKG	grey	grey
DGKH	blue	blue
DGKQ	yellow	yellow
DGKZ	red	lightcyan
DGUOK	purple	purple
DHCR24	turquoise	turquoise
DHCR7	brown	brown
DHDDS	grey	grey
DHDH	brown	brown
DHFR	turquoise	turquoise
DHODH	yellow	yellow
DHPS	black	black
DHRS1	yellow	yellow
DHRS11	lightyellow	lightyellow
DHRS12	turquoise	turquoise
DHRS13	grey	grey
DHRS3	turquoise	turquoise
DHRS4	blue	blue
DHRS4L2	blue	blue
DHRS7	blue	blue
DHRS7B	blue	blue
DHRS9	magenta	magenta
DHRSX	grey	grey
DHTKD1	brown	brown
DHX15	blue	blue
DHX16	red	lightcyan
DHX29	midnightblue	midnightblue
DHX30	red	lightcyan
DHX32	magenta	magenta
DHX33	blue	blue
DHX34	lightcyan	lightcyan
DHX35	blue	blue
DHX36	salmon	salmon
DHX37	lightcyan	lightcyan
DHX38	red	lightcyan
DHX40	grey	grey
DHX57	turquoise	turquoise
DHX58	brown	brown
DHX8	blue	blue
DHX9	blue	blue
DIABLO	turquoise	turquoise
DIAPH1	midnightblue	midnightblue
DIAPH2	black	black
DIAPH3	turquoise	turquoise
DICER1	blue	blue
DIDO1	green	green
DIMT1	midnightblue	midnightblue
DIO1	magenta	magenta
DIO2	pink	pink
DIO3	magenta	magenta
DIP2A	blue	blue
DIP2B	blue	blue
DIP2C	blue	blue
DIRAS1	grey	grey
DIRAS3	magenta	magenta
DIS3	blue	blue
DIS3L	blue	blue
DIS3L2	green	green
DISC1	blue	blue
DISP1	grey	grey
DIXDC1	tan	tan
DKC1	turquoise	turquoise
DKK1	turquoise	turquoise
DKK2	tan	tan
DKK3	tan	tan
DKKL1	grey	grey
DLAT	salmon	salmon
DLC1	turquoise	turquoise
DLD	salmon	salmon
DLEC1	magenta	magenta
DLEU7	brown	brown
DLG1	salmon	salmon
DLG3	grey	grey
DLG4	pink	pink
DLG5	blue	blue
DLGAP4	red	lightcyan
DLGAP5	turquoise	turquoise
DLK2	grey	grey
DLL1	grey	grey
DLL3	turquoise	turquoise
DLL4	tan	tan
DLST	grey	grey
DLX3	turquoise	turquoise
DLX4	yellow	yellow
DLX5	turquoise	turquoise
DMAP1	yellow	yellow
DMBT1	turquoise	turquoise
DMBX1	grey	grey
DMD	blue	blue
DMGDH	grey	grey
DMKN	grey	grey
DMPK	lightcyan	lightcyan
DMRTA1	grey	grey
DMTF1	green	green
DMTN	turquoise	turquoise
DMWD	lightcyan	lightcyan
DMXL1	midnightblue	midnightblue
DMXL2	blue	blue
DNA2	turquoise	turquoise
DNAAF1	magenta	magenta
DNAAF2	turquoise	turquoise
DNAAF3	magenta	magenta
DNAAF5	turquoise	turquoise
DNAH1	green	green
DNAH11	magenta	magenta
DNAH14	green	green
DNAH17	green	green
DNAH2	magenta	magenta
DNAH3	magenta	magenta
DNAH5	magenta	magenta
DNAI1	magenta	magenta
DNAI2	magenta	magenta
DNAJA1	turquoise	turquoise
DNAJA2	grey	grey
DNAJA3	cyan	black
DNAJA4	magenta	magenta
DNAJB1	grey	grey
DNAJB11	turquoise	turquoise
DNAJB12	grey	grey
DNAJB13	magenta	magenta
DNAJB14	midnightblue	midnightblue
DNAJB2	cyan	black
DNAJB4	salmon	salmon
DNAJB5	pink	pink
DNAJB6	turquoise	turquoise
DNAJB9	red	lightcyan
DNAJC1	grey	grey
DNAJC10	salmon	salmon
DNAJC11	blue	blue
DNAJC12	grey	grey
DNAJC13	salmon	salmon
DNAJC14	turquoise	turquoise
DNAJC15	grey	grey
DNAJC16	blue	blue
DNAJC17	salmon	salmon
DNAJC18	midnightblue	midnightblue
DNAJC19	turquoise	turquoise
DNAJC2	turquoise	turquoise
DNAJC21	turquoise	turquoise
DNAJC22	turquoise	turquoise
DNAJC24	midnightblue	midnightblue
DNAJC25	grey	grey
DNAJC27	green	green
DNAJC28	yellow	yellow
DNAJC3	blue	blue
DNAJC30	cyan	black
DNAJC4	black	black
DNAJC5	red	lightcyan
DNAJC5B	brown	brown
DNAJC6	turquoise	turquoise
DNAJC7	turquoise	turquoise
DNAJC8	black	black
DNAJC9	turquoise	turquoise
DNAL1	magenta	magenta
DNAL4	red	lightcyan
DNALI1	magenta	magenta
DNASE1	green	green
DNASE1L1	grey	grey
DNASE1L2	yellow	yellow
DNASE1L3	tan	tan
DNASE2	brown	brown
DNASE2B	brown	brown
DNER	magenta	magenta
DNHD1	yellow	yellow
DNM1	pink	pink
DNM1L	turquoise	turquoise
DNM2	red	lightcyan
DNM3	midnightblue	midnightblue
DNMBP	blue	blue
DNMT1	red	lightcyan
DNMT3A	turquoise	turquoise
DNMT3B	turquoise	turquoise
DNPEP	black	black
DNPH1	black	black
DNTTIP1	grey	grey
DNTTIP2	turquoise	turquoise
DOC2A	yellow	yellow
DOC2B	grey	grey
DOCK1	blue	blue
DOCK10	brown	brown
DOCK11	brown	brown
DOCK2	brown	brown
DOCK3	green	green
DOCK4	brown	brown
DOCK5	blue	blue
DOCK6	red	lightcyan
DOCK7	blue	blue
DOCK8	brown	brown
DOCK9	blue	blue
DOHH	red	lightcyan
DOK1	brown	brown
DOK2	brown	brown
DOK3	brown	brown
DOK4	turquoise	turquoise
DOK5	grey	grey
DOK6	blue	blue
DOK7	magenta	magenta
DOLK	cyan	black
DOLPP1	cyan	black
DONSON	turquoise	turquoise
DOT1L	red	lightcyan
DPAGT1	grey	grey
DPCD	blue	blue
DPEP1	grey	grey
DPEP2	brown	brown
DPF2	turquoise	turquoise
DPH1	yellow	yellow
DPH2	turquoise	turquoise
DPH3	red	lightcyan
DPH5	purple	purple
DPH6	red	lightcyan
DPH7	yellow	yellow
DPM1	turquoise	turquoise
DPM2	cyan	black
DPM3	black	black
DPP10	grey	grey
DPP3	red	lightcyan
DPP4	turquoise	turquoise
DPP7	cyan	black
DPP8	blue	blue
DPP9	red	lightcyan
DPT	pink	pink
DPY19L1	grey	grey
DPY19L3	grey60	grey60
DPY19L4	salmon	salmon
DPY30	purple	purple
DPYD	brown	brown
DPYSL2	turquoise	turquoise
DPYSL3	pink	pink
DPYSL4	grey	grey
DR1	salmon	salmon
DRAM1	turquoise	turquoise
DRAM2	brown	brown
DRAP1	black	black
DRC1	magenta	magenta
DRC3	magenta	magenta
DRD4	yellow	yellow
DRG1	purple	purple
DRG2	grey	grey
DROSHA	turquoise	turquoise
DSC2	turquoise	turquoise
DSCC1	turquoise	turquoise
DSE	brown	brown
DSEL	blue	blue
DSG2	turquoise	turquoise
DSN1	turquoise	turquoise
DSP	turquoise	turquoise
DST	blue	blue
DSTN	grey	grey
DSTYK	blue	blue
DTD1	black	black
DTD2	grey	grey
DTHD1	magenta	magenta
DTL	turquoise	turquoise
DTNA	grey	grey
DTNB	grey	grey
DTNBP1	grey	grey
DTWD1	green	green
DTWD2	midnightblue	midnightblue
DTX1	greenyellow	greenyellow
DTX2	cyan	black
DTX3	yellow	yellow
DTX3L	greenyellow	greenyellow
DTX4	turquoise	turquoise
DTYMK	turquoise	turquoise
DUOX1	turquoise	turquoise
DUOX2	magenta	magenta
DUOXA1	turquoise	turquoise
DUS1L	lightyellow	lightyellow
DUS2	yellow	yellow
DUS3L	black	black
DUS4L	turquoise	turquoise
DUSP1	tan	tan
DUSP10	grey	grey
DUSP11	turquoise	turquoise
DUSP12	turquoise	turquoise
DUSP13	turquoise	turquoise
DUSP14	turquoise	turquoise
DUSP16	blue	blue
DUSP18	magenta	magenta
DUSP19	magenta	magenta
DUSP2	greenyellow	greenyellow
DUSP22	turquoise	turquoise
DUSP23	blue	blue
DUSP26	greenyellow	greenyellow
DUSP28	yellow	yellow
DUSP3	brown	brown
DUSP4	grey	grey
DUSP5	grey	grey
DUSP6	turquoise	turquoise
DUSP7	pink	pink
DUSP8	yellow	yellow
DUSP9	turquoise	turquoise
DUT	turquoise	turquoise
DVL1	cyan	black
DVL2	lightcyan	lightcyan
DVL3	turquoise	turquoise
DXO	yellow	yellow
DYDC2	magenta	magenta
DYM	blue	blue
DYNC1H1	blue	blue
DYNC1I1	grey	grey
DYNC1I2	turquoise	turquoise
DYNC1LI1	grey	grey
DYNC1LI2	blue	blue
DYNC2H1	magenta	magenta
DYNC2LI1	magenta	magenta
DYNLL1	turquoise	turquoise
DYNLL2	purple	purple
DYNLRB1	black	black
DYNLRB2	magenta	magenta
DYNLT1	blue	blue
DYNLT3	grey	grey
DYRK1A	blue	blue
DYRK1B	lightcyan	lightcyan
DYRK2	blue	blue
DYRK3	grey	grey
DYRK4	grey	grey
DYSF	tan	tan
DZANK1	magenta	magenta
DZIP1	pink	pink
DZIP1L	magenta	magenta
DZIP3	magenta	magenta
E2F1	turquoise	turquoise
E2F2	turquoise	turquoise
E2F3	turquoise	turquoise
E2F4	red	lightcyan
E2F5	lightyellow	lightyellow
E2F6	turquoise	turquoise
E2F7	turquoise	turquoise
E2F8	turquoise	turquoise
E4F1	cyan	black
EAF1	blue	blue
EAF2	greenyellow	greenyellow
EAPP	turquoise	turquoise
EARS2	blue	blue
EBAG9	grey	grey
EBF1	tan	tan
EBF4	yellow	yellow
EBI3	greenyellow	greenyellow
